ID,Ass1,Ass2,Ass3,Ass4,Exam,Total,Final,Grade,total
1,89.1,50.0,85.0,88.9,65,62.04,62.0,C,68.53999999999999
2,95.1,82.5,90.5,94.5,52,61.83,62.0,C,67.03
3,74.3,54.4,63.0,63.9,31,40.11,40.0,N,43.21
4,89.8,81.3,82.0,90.4,37,52.845,44.0,N,56.545
5,91.3,98.8,92.5,95.9,79,77.895,78.0,D,85.79499999999999
6,83.9,82.5,89.0,98.6,68,69.81,70.0,D,76.61
7,81.9,50.0,68.5,95.4,59,58.83,59.0,P,64.73
8,50.0,54.9,50.0,87.7,51,51.89,52.0,P,56.99
9,90.5,65.9,50.0,72.2,63,59.24,59.0,P,65.53999999999999
10,89.0,89.9,94.0,90.3,84,78.18,78.0,D,86.58
11,96.6,100.0,98.0,97.3,102,90.325,90.0,HD,100.525
12,58.8,67.5,72.0,75.4,51,53.475,53.0,P,58.575
13,74.7,78.5,50.0,86.2,66,63.94,64.0,C,70.54
14,87.7,80.0,57.0,73.6,52,56.275,56.0,P,61.475
15,66.3,53.7,53.0,81.9,30,41.30500000000001,41.0,N,44.305
16,82.7,77.2,73.0,95.9,50,58.75,59.0,P,63.75
17,97.5,96.2,83.5,93.8,55,65.05,65.0,C,70.55
18,70.2,86.1,57.0,76.9,52,56.81,57.0,P,62.010000000000005
19,78.1,84.8,61.0,89.0,68,67.025,67.0,C,73.82499999999999
20,70.9,50.0,60.0,64.6,51,49.235,49.0,N,54.335
21,87.0,59.8,52.0,98.5,69,65.195,65.0,C,72.095
22,91.4,74.7,78.0,80.6,70,66.765,67.0,C,73.765
23,67.9,57.0,77.0,75.3,59,56.59,57.0,P,62.49
24,57.7,76.3,71.0,87.7,35,48.535,44.0,N,52.035
25,84.7,65.0,73.0,88.9,34,47.97,44.0,N,51.37
26,84.7,53.8,75.0,78.1,36,45.769999999999996,44.0,N,49.36999999999999
27,88.5,91.5,90.0,87.5,65,68.275,68.0,C,74.775
28,79.0,52.5,65.0,61.6,71,59.815,60.0,C,66.91499999999999
29,89.2,65.0,74.0,94.4,61,62.57,63.0,C,68.67
30,63.3,83.5,87.0,89.2,55,60.92,61.0,C,66.42
31,87.0,78.8,66.0,70.8,72,66.09,66.0,C,73.28999999999999
