ID,Ass1,Ass2,Ass3,Ass4,Exam,Total,Final,Grade,total
1,89.1,50.0,85.0,88.9,65,68.54,69,C,68.53999999999999
2,95.1,82.5,90.5,94.5,52,67.03,67,C,67.03
3,74.3,54.4,63.0,63.9,31,43.21,43,N,43.209999999999994
4,89.8,81.3,82.0,90.4,37,56.55,44,N,56.545
5,91.3,98.8,92.5,95.9,79,85.79,86,D,85.79499999999999
6,83.9,82.5,89.0,98.6,68,76.61,77,D,76.61
7,81.9,50.0,68.5,95.4,59,64.73,65,C,64.73
8,50.0,54.9,50.0,87.7,51,56.99,57,P,56.989999999999995
9,90.5,65.9,50.0,72.2,63,65.54,66,C,65.53999999999999
10,89.0,89.9,94.0,90.3,84,86.58,87,D,86.58
11,96.6,100.0,98.0,97.3,102,100.0,100,D,100.52499999999999
12,58.8,67.5,72.0,75.4,51,58.58,59,P,58.575
13,74.7,78.5,50.0,86.2,66,70.54,71,D,70.54
14,87.7,80.0,57.0,73.6,52,61.47,61,C,61.475
15,66.3,53.7,53.0,81.9,30,44.31,44,N,44.305
16,82.7,77.2,73.0,95.9,50,63.75,64,C,63.75
17,97.5,96.2,83.5,93.8,55,70.55,71,D,70.55
18,70.2,86.1,57.0,76.9,52,62.01,62,C,62.010000000000005
19,78.1,84.8,61.0,89.0,68,73.82,74,D,73.82499999999999
20,70.9,50.0,60.0,64.6,51,54.33,54,P,54.334999999999994
21,87.0,59.8,52.0,98.5,69,72.09,72,D,72.095
22,91.4,74.7,78.0,80.6,70,73.77,74,D,73.765
23,67.9,57.0,77.0,75.3,59,62.49,62,C,62.489999999999995
24,57.7,76.3,71.0,87.7,35,52.03,44,N,52.035
25,84.7,65.0,73.0,88.9,34,51.37,44,N,51.37
26,84.7,53.8,75.0,78.1,36,49.37,44,N,49.36999999999999
27,88.5,91.5,90.0,87.5,65,74.78,75,D,74.775
28,79.0,52.5,65.0,61.6,71,66.91,67,C,66.91499999999999
29,89.2,65.0,74.0,94.4,61,68.67,69,C,68.67
30,63.3,83.5,87.0,89.2,55,66.42,66,C,66.42
31,87.0,78.8,66.0,70.8,72,73.29,73,D,73.28999999999999
32,77.0,81.3,72.0,93.8,52,64.91,65,C,64.91499999999999
33,64.2,50.0,18.0,0.0,0,11.61,12,N,11.610000000000001
34,94.4,97.5,80.0,100.0,90,92.34,92,D,92.345
35,92.7,76.8,84.0,100.0,55,68.35,68,C,68.355
36,88.8,50.0,76.0,93.2,63,67.52,68,C,67.52
